@id,@lon,@lat,name,addr:street,addr:city,addr:country
28770776,-9.7428360,51.8485608,Lackeen Point,,,
28771418,-8.3373861,51.8731701,Waterville Place,,,
28798536,-6.8298655,53.4143540,Topaz,,,
28834630,-7.1137682,53.4498019,Kinnegad (West),,,
28834677,-7.2767159,53.4081814,Rochfortbridge,,,
28834696,-7.3550056,53.3904906,Tyrrellspass,,,
28834845,-7.1321380,53.4487791,Kinnegad (West),,,
28842945,-6.2586446,54.8807540,Broughshane Road,,,
28842963,-6.2502141,54.8569387,Larne Road,,,
28846664,-6.1924926,54.7403868,Crosskennan,,,
28846730,-6.1799756,54.7331315,Crosskennan,,,
28846860,-6.1470207,54.7219565,Rathbeg,,,
28847146,-6.0572923,54.7057662,Templepatrick Interchange,,,
28847405,-5.9863185,54.6842957,Sandyknowes Junction,,,
28847460,-5.9731853,54.6721908,Sandyknowes Junction,,,
28851055,-6.3069853,53.3994701,Topaz,,,
29028795,-6.3276864,53.7078681,Black Bull,,,
29533733,-4.9530572,51.6982804,Pembroke Dock,,,
30484131,-6.3731282,54.0407731,Ballymascanlan Interchange,,,
30486871,-6.0988568,52.8826664,Jack White’s Cross Roads,,,
30526022,-6.0972952,52.9719282,Wicklow (Central),,,
30580101,-6.0950495,52.9951931,Wicklow (North),,,
30580337,-6.0890806,53.0368026,Coynes Cross,,,
30587510,-6.0915403,53.0484251,Coynes Cross,,,
30587557,-6.0922876,53.0062500,Wicklow (North),,,
30589459,-6.1363734,53.1699610,Kilmacanogue,,,
30589479,-6.1240969,53.1453749,Glen of the Downs,,,
30591274,-6.1059603,53.0975650,Newtownmountkennedy,,,
30591284,-6.1046713,53.1126586,Greystones (Kilpedder),,,
30591330,-6.1073199,53.1038349,Newtownmountkennedy,,,
30847195,-6.2879669,53.2816693,Taylors Lane,,,
31078662,-6.3401152,52.2497333,Rosslare Harbour,,,
31086076,-8.0952772,53.9441461,Carrick-on-Shannon,,,
31093508,-6.2267426,53.3418641,Bridge Street, St. Patrick's Villas,,,
31094447,-6.2337675,53.3670950,Marino Park,,,
31094895,-6.2368261,53.3580154,East Wall Junction,,,
31122834,-6.1500903,52.8196883,Arklow (North),,,
31241248,-7.9954124,53.6753208,Ballyleague,,,
31524926,-6.2787216,52.6619375,Gorey,,,
31528885,-6.2683790,52.6649140,Gorey,,,
31637649,-6.6067030,53.0912051,Hollywood Cross Roads,,,
31825867,-6.2325017,52.8849676,Meeting of the Waters,,,
31901567,-6.2182013,53.2778290,#4848 Blackthorn Drive, Blackthorn Road,,,
31901640,-6.2057489,53.2884983,Indian Summer,Kilmacud Road Lower,,
31903441,-6.3273703,53.0105574,Glendalough,,,
31933794,-6.1837938,53.3028005,#469 Rock Road, Mount Merrion Avenue,,,
31936601,-6.2162170,53.3768452,Malahide Road, Maypark,,,
31941116,-5.9510908,54.5920652,Mulhouse Road,,,
31941254,-5.9458352,54.5920359,Grosnevor Road,,,
31941383,-5.9411975,54.5973756,Divis Street,,,
31941899,-5.9288218,54.6073925,York Street,,,
32173007,-7.1724500,53.4954077,Lock 25,,,
32173009,-7.1678596,53.4953331,Lock 24,,,
32173012,-7.1618222,53.4944097,Lock 23,,,
32173026,-7.1427211,53.4950734,Lock 20,,,
32175626,-6.7130090,53.4203852,Lock 17,,,
32335098,-6.2260424,53.3276117,#417 Merrion Road, Serpentine Avenue,,,
32434982,-6.1798705,53.3754097,All Saints Road,,,
32532752,-6.2049790,53.3163741,Merrion Gates,,,
32554376,-7.9651222,53.5773619,Culnagore Point,,,
32558885,-6.4055498,53.3794601,Porterstown Level Crossing,,,
32653970,-7.4931484,53.2737410,Tullamore,,,
32655371,-7.8898894,53.1176421,Kennedy's Cross Roads,,,
32655397,-7.8832521,53.1579171,Galros Cross Roads,,,
32656220,-8.4399439,52.7659641,Birdhill,,,
32656295,-8.2373756,52.8447137,Nenagh (West),,,
32691484,-8.2064193,52.2934451,Kilbeheny,,,
32691488,-8.2023270,52.2960667,Kilbeheny,,,
32854902,-7.8354892,53.2622147,Gallen Cross Roads,,,
32854990,-7.8479737,53.3497915,Ballinahown,,,
32854991,-7.8490283,53.3504097,Ballynahown,,,
33581574,-7.4842423,53.3583881,Tullamore,,,
33581741,-7.8969377,53.4256019,Garrycastle,,,
33581748,-7.9192704,53.4293033,Ballymahon,,,
33581754,-7.9335778,53.4337041,Athlone (Centre),,,
33581782,-7.9634126,53.4279923,Roscommon,,,
33581839,-7.9843387,53.4183721,Athlone (East),,,
33581849,-7.9693953,53.4260489,Roscommon,,,
33581869,-7.9294528,53.4328233,Ballymahon,,,
33581875,-7.9090446,53.4269763,Garrycastle,,,
33581889,-7.8909701,53.4193374,Athlone (East),,,
33582868,-7.3437669,52.9607081,Colt Cross,,,
33583141,-6.6353726,53.4585460,Mullagh Cross Roads,,,
33583149,-6.8346748,53.4149336,Applegreen,,,
33583151,-7.0849669,53.4476717,Kinnegad (East),,,
33583163,-7.5814989,53.3926367,Horseleap,,,
33709660,-6.3601072,54.0928125,Jonesborough,,,
33709823,-6.3648197,54.1138458,Border NI/ROI,,,
34403459,-6.5073618,53.2986794,Newcastle,,,
